trade_id,代码,信号日,买入日,卖出日,is_zt,lu_250d,lu_60d,lu_20d,est_float_cap,price,avg_amount_20d_yi,max_consec_zt,is_250d_high,days_since_last_zt,pre_vol_slope,pre_price_slope,pre_vol_expansion,pre_price_compression,pre_sum_chg,pre_pos_days,pre_close_pos,mkt_7pct_count,mkt_zt_count,mkt_avg_7pct_gain,mkt_hot_sector_count,mkt_sh_above_ma60,sec_zt_count,sec_avg_gain,sec_has_zhongjun,sec_stock_count,sec_is_top1,sec_rank,sec_pos_days_3d,key,评分,信号涨幅%,突破幅度%,量比MAVOL180,持有天数,label_3d_return,label_return_gt_5pct,label_return_gt_0pct,label_is_zt,label_max_return,label_max_drawdown,label_day1_return
57,002961,20250612,20250613,20250618,0,8,1,0,777.8,19.87,2.7,2,1,0,11.47,1.68,1.59,0.82,12.4,6,0.62,121,90,11.16,1,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002961_20250612,80,10.0%,6.0,2.3,3,-0.0864,0,0,0,-0.020226936359151463,-0.10162802170695603,-0.06462752836704483
58,600530,20250612,20250613,20250618,0,9,8,1,1875.0,10.67,5.8,4,1,0,2.65,1.81,1.31,1.36,15.61,5,0.8,121,90,11.16,1,1,1.0,3.31,0.0,3.0,0.0,7.0,2.0,600530_20250612,70,10.0%,4.7,1.5,3,-0.0904,0,0,0,-0.04018691588785044,-0.11962616822429901,-0.06542056074766349
59,002878,20250613,20250616,20250619,0,4,1,0,2473.7,24.93,7.5,3,1,0,2.58,2.1,1.14,0.95,29.34,5,1.0,99,75,11.49,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002878_20250613,85,10.0%,4.4,3.5,3,-0.0799,0,0,0,0.08799999999999997,-0.1,0.0056000000000000225
60,601069,20250613,20250616,20250619,0,14,1,1,1771.1,21.43,6.2,2,1,0,0.68,0.63,0.97,0.59,9.9,5,0.81,99,75,11.49,0,1,1.0,4.87,1.0,7.0,0.0,4.0,1.0,601069_20250613,80,10.0%,8.9,1.9,3,0.046900000000000004,0,1,0,0.06812879141390578,0.0,0.01353243117125521
61,603928,20250613,20250616,20250626,1,9,6,6,230.7,11.85,0.8,6,0,0,7.26,0.69,0.82,1.6,4.22,5,0.47,99,75,11.49,0,1,1.0,-1.11,0.0,21.0,0.0,9.0,2.0,603928_20250613,85,10.0%,8.0,2.6,8,0.46340000000000003,1,1,1,0.7291487532244194,-0.05073086844368027,-0.011177987962166876
62,001296,20250616,20250617,20250620,0,10,2,0,153.9,20.32,0.6,1,0,0,10.55,0.62,1.15,0.65,5.91,6,0.74,141,86,10.64,0,1,2.0,6.99,0.0,3.0,0.0,2.0,1.0,001296_20250616,80,10.0%,5.6,2.7,3,0.0079,0,1,0,0.0685884691848906,-0.08001988071570573,-0.04870775347912527
63,002348,20250616,20250617,20250620,0,10,3,0,568.5,4.26,2.1,3,0,0,25.73,1.3,4.79,3.0,8.68,6,0.42,141,86,10.64,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002348_20250616,75,10.1%,1.2,2.6,3,-0.08779999999999999,0,0,0,0.023419203747072726,-0.09367681498829028,-0.021077283372365307
64,603052,20250616,20250617,20250620,0,22,4,0,104.2,38.64,0.4,2,0,100,6.14,-0.05,1.12,2.25,-1.1,4,0.22,141,86,10.64,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,603052_20250616,64,7.2%,2.0,1.5,3,-0.0676,0,0,0,-0.015267175572518941,-0.08117048346055974,-0.029770992366412077
65,002800,20250617,20250618,20250624,1,8,1,1,379.8,14.47,1.4,3,0,0,-0.76,0.1,0.77,0.55,1.64,4,0.34,85,63,10.97,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002800_20250617,75,10.0%,0.1,2.2,4,-0.005600000000000001,0,0,1,0.10676901605024419,-0.11933007676203775,-0.08513607815771114
66,600113,20250617,20250618,20250625,1,16,5,4,141.7,15.85,0.5,1,1,0,6.72,0.08,1.63,1.74,1.97,4,1.0,85,63,10.97,0,1,1.0,1.28,0.0,8.0,0.0,2.0,1.0,600113_20250617,85,10.0%,7.5,2.2,5,0.608,1,1,1,0.7184713375796179,0.12866242038216558,0.19808917197452228
67,600227,20250617,20250618,20250623,0,16,4,3,264.9,2.83,0.9,2,0,0,17.05,0.95,2.52,1.24,10.82,8,0.86,85,63,10.97,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,600227_20250617,80,10.1%,4.8,2.2,3,-0.048600000000000004,0,0,0,0.10069444444444446,-0.10069444444444446,0.020833333333333353
68,002213,20250618,20250619,20250624,1,15,1,0,854.5,18.12,3.0,3,0,0,3.94,0.59,1.02,0.62,15.85,5,0.84,93,64,11.23,0,1,1.0,2.08,0.0,13.0,0.0,7.0,2.0,002213_20250618,75,10.0%,2.7,2.0,3,0.0564,1,1,1,0.13179571663920914,-0.10159253157605719,-0.044481054365733234
69,002916,20250618,20250619,20250624,0,14,3,1,2351.2,103.6,8.7,2,0,100,-0.32,0.93,1.0,0.82,9.59,4,0.72,93,64,11.23,0,1,1.0,3.67,1.0,22.0,0.0,3.0,1.0,002916_20250618,74,7.0%,7.8,1.8,3,-0.06559999999999999,0,0,0,-0.01232546942705827,-0.07048627828598934,-0.04448724121328831
